65.019
1	252
2	244
3	252
4	216
5	223
6	262
7	224
8	248
9	233
10	205
11	224
12	216
13	199
14	206
15	217
16	208
17	183
18	195
19	188
20	204
21	195
22	191
23	186
24	172
25	166
26	180
27	164
28	188
29	154
30	134
31	139
32	152
33	143
34	157
35	152
36	139
37	135
38	153
39	137
40	143
41	133
42	148
43	117
44	141
45	134
46	131
47	123
48	107
49	112
50	113
51	127
52	121
53	113
54	135
55	103
56	90
57	108
58	95
59	105
60	98
61	85
62	85
63	88
64	87
65	85
66	89
67	81
68	85
69	89
70	72
71	76
72	85
73	91
74	70
75	82
76	80
77	77
78	68
79	89
80	74
81	83
82	88
83	75
84	80
85	87
86	54
87	74
88	72
89	56
90	76
91	64
92	66
93	63
94	65
95	63
96	46
97	49
98	58
99	55
100	45
101	60
102	53
103	65
104	50
105	38
106	44
107	62
108	55
109	45
110	42
111	45
112	46
113	43
114	41
115	44
116	43
117	43
118	45
119	43
120	52
121	41
122	31
123	34
124	36
125	35
126	42
127	31
128	37
129	26
130	31
131	36
132	42
133	25
134	35
135	30
136	26
137	27
138	32
139	21
140	23
141	32
142	26
143	21
144	42
145	27
146	20
147	25
148	25
149	35
150	28
151	18
152	20
153	11
154	18
155	29
156	25
157	28
158	28
159	13
160	24
161	22
162	21
163	21
164	21
165	21
166	18
167	19
168	21
169	21
170	21
171	14
172	25
173	17
174	24
175	16
176	20
177	11
178	15
179	17
180	18
181	13
182	18
183	24
184	17
185	17
186	12
187	8
188	13
189	13
190	7
191	12
192	13
193	10
194	12
195	13
196	11
197	11
198	14
199	9
200	10
201	23
202	10
203	5
204	15
205	5
206	12
207	15
208	14
209	13
210	11
211	9
212	10
213	10
214	8
215	11
216	10
217	7
218	9
219	6
220	14
221	9
222	12
223	3
224	7
225	8
226	10
227	11
228	7
229	5
230	4
231	8
232	8
233	12
234	7
235	5
236	7
237	13
238	6
239	6
240	6
241	7
242	5
243	7
244	5
245	8
246	6
247	7
248	5
249	6
250	5
251	3
252	3
253	2
254	8
255	5
256	8
257	3
258	5
259	6
260	4
261	3
262	7
263	6
264	4
265	1
266	5
267	4
268	2
269	5
270	1
271	7
272	3
273	2
274	4
275	2
276	9
277	3
278	5
279	4
280	3
281	1
282	2
283	4
284	1
285	2
286	3
287	2
288	3
290	1
291	1
292	3
293	7
294	4
295	1
296	2
297	1
299	4
300	4
301	1
302	2
303	4
304	1
306	3
307	3
308	3
309	1
310	3
311	2
312	1
313	3
314	1
315	5
316	4
317	2
318	4
319	3
320	2
321	2
323	1
324	1
325	4
326	1
328	3
329	1
330	2
331	1
332	1
333	2
337	2
338	2
339	3
341	1
344	2
345	2
346	2
347	1
351	1
354	1
355	1
356	1
357	2
358	1
359	3
360	1
361	1
362	1
363	1
364	1
365	3
367	1
368	2
371	1
373	1
374	1
375	1
376	2
377	1
378	1
379	1
380	1
383	1
384	1
385	1
386	1
389	2
390	2
391	1
393	1
394	1
395	1
397	1
399	2
401	1
403	1
409	2
413	1
415	2
420	2
428	1
434	1
435	1
451	1
465	1
470	1
471	1
476	2
481	1
486	1
501	1
506	1
509	1
532	1
539	1
554	1
